num_samples, total_time, posting_time
5000, 5393, 2719
6000, 3982, 2072
7000, 4493, 2300
8000, 5088, 2617
9000, 5683, 2821
10000, 6108, 2998
11000, 6775, 3371
12000, 7210, 3512
13000, 7765, 3746
14000, 8218, 3925
15000, 8832, 4235
16000, 9480, 4578
17000, 10000, 4705
18000, 11518, 5995
19000, 15333, 9491
20000, 11755, 5551
5000, 3279, 1696
6000, 3789, 1890
7000, 4402, 2224
8000, 4934, 2436
9000, 5433, 2663
10000, 6027, 2930
11000, 6675, 3246
12000, 7095, 3401
13000, 7682, 3691
14000, 8240, 3954
15000, 8821, 4223
16000, 9467, 4553
17000, 9914, 4689
18000, 10638, 4981
19000, 11205, 5356
20000, 11717, 5589
5000, 3285, 1707
6000, 3780, 1915
7000, 4315, 2158
8000, 5355, 2881
9000, 5500, 2706
10000, 6257, 3172
11000, 6853, 3357
12000, 7068, 3356
13000, 7775, 3785
14000, 8333, 4021
15000, 8784, 4148
16000, 9348, 4429
17000, 9947, 4750
18000, 10490, 4968
19000, 11071, 5229
20000, 11691, 5472
5000, 3228, 1651
6000, 3782, 1934
7000, 4366, 2208
8000, 4882, 2436
9000, 5428, 2649
10000, 6047, 2965
11000, 6623, 3212
12000, 7243, 3512
13000, 7680, 3675
14000, 8216, 3930
15000, 8778, 4183
16000, 9267, 4371
17000, 9885, 4662
18000, 10431, 4912
19000, 11077, 5264
20000, 11543, 5413
5000, 3234, 1677
6000, 3708, 1869
7000, 4427, 2198
8000, 4916, 2426
9000, 5459, 2668
10000, 6002, 2933
11000, 6733, 3326
12000, 7053, 3362
13000, 7652, 3649
14000, 8285, 4005
15000, 8703, 4113
16000, 9299, 4399
17000, 10040, 4829
18000, 10491, 4971
19000, 11088, 5209
20000, 11747, 5616
5000, 3183, 1635
6000, 3736, 1876
7000, 4313, 2155
8000, 4933, 2464
9000, 5485, 2689
10000, 5969, 2905
11000, 6603, 3155
12000, 7040, 3349
13000, 7692, 3697
14000, 8201, 3912
15000, 8895, 4249
16000, 9299, 4392
17000, 9956, 4733
18000, 10435, 4925
19000, 11137, 5281
20000, 11471, 5352
5000, 3221, 1665
6000, 3716, 1858
7000, 4352, 2199
8000, 4893, 2424
9000, 5378, 2602
10000, 8596, 5525
11000, 6578, 3200
12000, 7091, 3387
13000, 7668, 3683
14000, 9094, 3989
15000, 8863, 4189
16000, 9376, 4414
17000, 10104, 4771
18000, 10600, 4967
19000, 11117, 5213
20000, 11729, 5568
5000, 3308, 1698
6000, 3855, 1962
7000, 4441, 2271
8000, 4879, 2406
9000, 5430, 2652
10000, 6014, 2874
11000, 6765, 3323
12000, 7085, 3369
13000, 7680, 3657
14000, 8500, 4115
15000, 8762, 4110
16000, 9342, 4415
17000, 9892, 4640
18000, 10446, 4891
19000, 11012, 5131
20000, 11547, 5402
5000, 3257, 1673
6000, 3829, 1968
7000, 4363, 2184
8000, 4947, 2436
9000, 5446, 2636
10000, 6372, 2914
11000, 6593, 3169
12000, 7105, 3373
13000, 7697, 3669
14000, 8270, 3939
15000, 9607, 4225
16000, 11934, 7010
17000, 10045, 4745
18000, 10629, 4981
19000, 11145, 5342
20000, 11480, 5350
5000, 3219, 1666
6000, 3774, 1922
7000, 4394, 2241
8000, 4822, 2353
9000, 5583, 2786
10000, 6019, 2917
11000, 6605, 3204
12000, 7612, 3933
13000, 118550, 114560
14000, 8489, 4176
15000, 8851, 4263
16000, 9982, 5065
17000, 10595, 5384
18000, 11172, 5651
19000, 11055, 5230
20000, 12938, 6814
5000, 3394, 1852
